
Treesize _GSDATA_ ALL DRIVE & NETWORK

Name	Containing Path	Size	Allocated	Last Modified	Last Accessed	Type	Owner
2016-0426-080122-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	4.1 KB	8.0 KB	26/04/2016	26/04/2016	.log (Notepad++ Document)	MATT 01
2016-0428-203416-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	4.0 KB	4.0 KB	28/04/2016	28/04/2016	.log (Notepad++ Document)	MATT 01
2016-0429-233352-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	2.8 KB	4.0 KB	30/04/2016	30/04/2016	.log (Notepad++ Document)	MATT 01
2016-0501-004409-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	6.7 KB	8.0 KB	01/05/2016	01/05/2016	.log (Notepad++ Document)	MATT 01
2016-0502-013201-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.9 KB	4.0 KB	02/05/2016	02/05/2016	.log (Notepad++ Document)	MATT 01
2016-0503-045727-4-ASUS-GL522VW-ASUS-EEE C -  D #C3.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	8,842.4 KB	8,844.0 KB	03/05/2016	03/05/2016	.log (Notepad++ Document)	MATT 01
2016-0503-073052-4-ASUS-GL522VW-ASUS-EEE C -  D #C1.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	12.9 KB	16.0 KB	03/05/2016	03/05/2016	.log (Notepad++ Document)	MATT 01
2016-0504-001958-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.2 KB	4.0 KB	04/05/2016	04/05/2016	.log (Notepad++ Document)	MATT 01
2016-0505-002550-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.2 KB	4.0 KB	05/05/2016	05/05/2016	.log (Notepad++ Document)	MATT 01
2016-0506-002932-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.2 KB	4.0 KB	06/05/2016	06/05/2016	.log (Notepad++ Document)	MATT 01
2016-0506-160037-4-ASUS-GL522VW-ASUS-EEE C -  D #C1.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	50.3 KB	52.0 KB	06/05/2016	06/05/2016	.log (Notepad++ Document)	MATT 01
2016-0507-003259-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.1 KB	4.0 KB	07/05/2016	07/05/2016	.log (Notepad++ Document)	MATT 01
2016-0508-003727-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.7 KB	4.0 KB	08/05/2016	08/05/2016	.log (Notepad++ Document)	MATT 01
2016-0509-004117-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	550.1 KB	552.0 KB	09/05/2016	09/05/2016	.log (Notepad++ Document)	MATT 01
2016-0510-220157-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	2.2 KB	4.0 KB	10/05/2016	10/05/2016	.log (Notepad++ Document)	MATT 01
2016-0510-222202-4-ASUS-GL522VW-ASUS-EEE C -  D #C1.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	538.9 KB	540.0 KB	10/05/2016	10/05/2016	.log (Notepad++ Document)	MATT 01
2016-0514-001730-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	619.5 KB	620.0 KB	14/05/2016	14/05/2016	.log (Notepad++ Document)	MATT 01
2016-0518-231945-4-ASUS-GL522VW-D #C1 - ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	41,715.2 KB	41,716.0 KB	18/05/2016	18/05/2016	.log (Notepad++ Document)	MATT 01
2016-0520-102950-5-ASUS-P2520L-C -- ASUS-P25 - ASUS-EEE.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	50.0 KB	52.0 KB	20/05/2016	20/05/2016	.log (Notepad++ Document)	MATT 01
2016-0520-103235-5-ASUS-P2520L-C -- ASUS-P25 - ASUS-EEE.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	339.2 KB	340.0 KB	20/05/2016	20/05/2016	.log (Notepad++ Document)	MATT 01
2016-0520-181924-5-ASUS-P2520L-C -- ASUS-P25  ASUS-EEE.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	542.3 KB	544.0 KB	20/05/2016	20/05/2016	.log (Notepad++ Document)	MATT 01
